"Date","Price","Open","High","Low","Vol.","Change %"
"08/14/2024","2.220","2.270","2.270","2.205","1.01M","-1.77%"
"08/13/2024","2.260","2.250","2.270","2.214","827.43K","0.89%"
"08/12/2024","2.240","2.230","2.260","2.180","1.82M","1.36%"
"08/09/2024","2.210","2.240","2.250","2.180","1.04M","-1.34%"
"08/08/2024","2.240","2.230","2.280","2.225","1.10M","1.82%"
"08/07/2024","2.200","2.150","2.315","2.150","3.63M","4.27%"
"08/06/2024","2.110","2.130","2.150","2.095","1.72M","-0.94%"
"08/05/2024","2.130","2.100","2.160","2.030","2.13M","-3.18%"
"08/02/2024","2.200","2.280","2.285","2.170","2.08M","-5.98%"
"08/01/2024","2.340","2.430","2.440","2.290","1.70M","-2.90%"
"07/31/2024","2.410","2.420","2.470","2.335","1.81M","3.43%"
"07/30/2024","2.330","2.360","2.370","2.305","1.20M","-1.27%"
"07/29/2024","2.360","2.380","2.410","2.330","1.18M","-0.84%"
"07/26/2024","2.380","2.380","2.410","2.335","1.33M","1.71%"
"07/25/2024","2.340","2.270","2.370","2.265","1.43M","3.54%"
"07/24/2024","2.260","2.330","2.340","2.250","1.30M","-3.00%"
"07/23/2024","2.330","2.350","2.365","2.310","1.36M","-1.69%"
"07/22/2024","2.370","2.400","2.410","2.350","1.39M","-0.84%"
"07/19/2024","2.390","2.410","2.450","2.340","1.36M","-1.24%"
"07/18/2024","2.420","2.490","2.530","2.410","1.54M","-3.59%"
"07/17/2024","2.510","2.500","2.580","2.500","1.47M","0.40%"
"07/16/2024","2.500","2.470","2.530","2.440","1.55M","0.81%"
"07/15/2024","2.480","2.440","2.510","2.390","1.95M","2.90%"
"07/12/2024","2.410","2.380","2.420","2.360","1.42M","2.12%"
"07/11/2024","2.360","2.290","2.380","2.285","1.77M","3.51%"
"07/10/2024","2.280","2.250","2.290","2.230","1.31M","2.24%"
"07/09/2024","2.230","2.200","2.270","2.195","994.89K","0.00%"
"07/08/2024","2.230","2.220","2.240","2.200","1.30M","0.00%"
"07/05/2024","2.230","2.260","2.270","2.190","1.34M","-1.76%"
"07/03/2024","2.270","2.200","2.290","2.200","1.03M","3.18%"
"07/02/2024","2.200","2.230","2.280","2.140","1.71M","0.46%"
"07/01/2024","2.190","2.150","2.240","2.120","1.94M","2.34%"
"06/28/2024","2.140","2.140","2.155","2.095","2.63M","1.42%"
"06/27/2024","2.110","2.100","2.130","2.080","657.62K","0.48%"
"06/26/2024","2.100","2.100","2.150","2.095","1.01M","-1.41%"
"06/25/2024","2.130","2.170","2.170","2.100","1.01M","-2.74%"
"06/24/2024","2.190","2.120","2.200","2.120","1.26M","3.30%"
"06/21/2024","2.120","2.120","2.180","2.120","2.47M","0.00%"
"06/20/2024","2.120","2.000","2.120","2.000","2.36M","5.47%"
"06/18/2024","2.010","2.060","2.110","2.010","1.79M","-2.43%"
"06/17/2024","2.060","2.050","2.060","2.000","1.69M","1.48%"
"06/14/2024","2.030","2.080","2.080","1.990","2.40M","-2.40%"
"06/13/2024","2.080","2.150","2.150","2.070","1.15M","-2.80%"
"06/12/2024","2.140","2.240","2.275","2.130","1.81M","-4.04%"
"06/11/2024","2.230","2.090","2.250","2.060","2.91M","6.19%"
"06/10/2024","2.100","2.100","2.130","2.080","1.33M","-0.47%"
"06/07/2024","2.110","2.100","2.130","2.080","1.32M","-0.47%"
"06/06/2024","2.120","2.130","2.170","2.110","1.10M","-0.93%"
"06/05/2024","2.140","2.140","2.170","2.110","1.79M","0.47%"
"06/04/2024","2.130","2.140","2.155","2.080","1.67M","-1.84%"
"06/03/2024","2.170","2.250","2.250","2.140","1.90M","-2.69%"
"05/31/2024","2.230","2.220","2.255","2.190","4.80M","0.90%"
"05/30/2024","2.210","2.130","2.220","2.130","1.85M","3.76%"
"05/29/2024","2.130","2.240","2.260","2.110","3.78M","-5.33%"
"05/28/2024","2.250","2.250","2.310","2.250","2.03M","0.00%"
"05/24/2024","2.250","2.220","2.260","2.210","1.32M","3.21%"
"05/23/2024","2.180","2.280","2.300","2.175","2.00M","-3.96%"
"05/22/2024","2.270","2.310","2.320","2.240","1.56M","-2.16%"
"05/21/2024","2.320","2.370","2.370","2.320","962.50K","-2.52%"
"05/20/2024","2.380","2.340","2.390","2.340","1.09M","1.28%"
"05/17/2024","2.350","2.310","2.350","2.280","1.35M","1.73%"
"05/16/2024","2.310","2.340","2.340","2.270","1.30M","-0.86%"
"05/15/2024","2.330","2.420","2.430","2.310","1.95M","-2.92%"
"05/14/2024","2.400","2.420","2.480","2.390","1.44M","0.42%"
"05/13/2024","2.390","2.380","2.455","2.360","1.87M","2.58%"
"05/10/2024","2.330","2.400","2.435","2.290","1.57M","-2.10%"
"05/09/2024","2.380","2.340","2.390","2.330","811.86K","2.15%"
"05/08/2024","2.330","2.330","2.370","2.300","1.49M","-0.43%"
"05/07/2024","2.340","2.420","2.420","2.340","1.46M","-2.50%"
"05/06/2024","2.400","2.370","2.450","2.360","2.48M","3.00%"
"05/03/2024","2.330","2.300","2.350","2.270","1.83M","2.19%"
"05/02/2024","2.280","2.310","2.362","2.250","2.08M","2.24%"
"05/01/2024","2.230","2.260","2.270","2.190","2.09M","-0.89%"
"04/30/2024","2.250","2.380","2.380","2.250","1.86M","-5.46%"
"04/29/2024","2.380","2.350","2.400","2.330","1.35M","1.28%"
"04/26/2024","2.350","2.320","2.370","2.310","928.54K","0.86%"
"04/25/2024","2.330","2.350","2.385","2.300","2.45M","-1.69%"
"04/24/2024","2.370","2.400","2.405","2.350","1.24M","-1.25%"
"04/23/2024","2.400","2.380","2.440","2.350","1.80M","1.27%"
"04/22/2024","2.370","2.400","2.410","2.320","1.56M","-1.66%"
"04/19/2024","2.410","2.390","2.440","2.370","1.51M","1.26%"
"04/18/2024","2.380","2.420","2.477","2.365","2.45M","-1.24%"
"04/17/2024","2.410","2.500","2.530","2.410","2.35M","-3.60%"
"04/16/2024","2.500","2.550","2.575","2.500","1.82M","-2.72%"
"04/15/2024","2.570","2.610","2.640","2.550","2.31M","-1.15%"
"04/12/2024","2.600","2.610","2.745","2.590","2.47M","0.78%"
"04/11/2024","2.580","2.610","2.820","2.580","3.08M","0.00%"
"04/10/2024","2.580","2.560","2.620","2.520","2.65M","-0.39%"
"04/09/2024","2.590","2.610","2.650","2.570","1.83M","-1.52%"
"04/08/2024","2.630","2.740","2.775","2.580","2.67M","-4.01%"
"04/05/2024","2.740","2.750","2.780","2.680","1.85M","0.00%"
"04/04/2024","2.740","2.780","2.790","2.685","2.36M","-1.08%"
"04/03/2024","2.770","2.760","2.790","2.740","1.45M","0.36%"
"04/02/2024","2.760","2.700","2.780","2.690","1.61M","2.60%"
"04/01/2024","2.690","2.670","2.730","2.610","2.27M","1.51%"
"03/28/2024","2.650","2.590","2.670","2.560","2.72M","3.92%"
"03/27/2024","2.550","2.460","2.560","2.450","2.44M","3.66%"
